Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Trade","0.00062528","ETH-DFI","0.00003688000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-27T15:25:55", "1ETH-DFI20211227152555"
"Mining","0.00000075000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-27T00:01:00", "BTC20211227000100_Commission"
"Mining","0.00004253000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-27T00:01:00", "ETH20211227000100_Commission"
"Mining","4.39591009000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-27T00:01:00", "DFI20211227000100_Rewards"
"Mining","0.12847636000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-27T00:01:00", "DFI20211227000100_Commission"
"Mining","0.26336459000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-27T00:01:00", "USDC20211227000100_Commission"
"Trade","0.03386491","USDC-DFI","0.03724253000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-26T18:03:08", "1USDC-DFI20211226180308"
"Trade","0.03386491","USDC-DFI","0.12643212000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-26T18:03:08", "1USDC-DFI20211226180308"
"Trade","0.00003683","BTC-DFI","0.00000061000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-26T17:59:56", "1BTC-DFI20211226175956"
"Trade","0.00003683","BTC-DFI","0.00889930000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-26T17:59:56", "1BTC-DFI20211226175956"
"Trade","0.00005603","ETH-DFI","0.00000325000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-26T17:58:28", "1ETH-DFI20211226175828"
"Trade","0.00005603","ETH-DFI","0.00386935000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-26T17:58:28", "1ETH-DFI20211226175828"
"Mining","0.00000629000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-26T00:01:00", "BTC20211226000100_Commission"
"Mining","0.00002086000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-26T00:01:00", "ETH20211226000100_Commission"
"Mining","4.53538153000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-26T00:01:00", "DFI20211226000100_Rewards"
"Mining","0.23528565000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-26T00:01:00", "DFI20211226000100_Commission"
"Mining","0.53039936000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-26T00:01:00", "USDC20211226000100_Commission"
"Trade","0.077375885","USDC-DFI","0.08496663000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-25T18:06:33", "1USDC-DFI20211225180633"
"Trade","0.077375885","USDC-DFI","0.28851702000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-25T18:06:33", "1USDC-DFI20211225180633"
"Trade","0.000009685","BTC-DFI","0.00234640000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-25T18:03:52", "1BTC-DFI20211225180352"
"Trade","0.000009685","BTC-DFI","0.00000016000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-25T18:03:52", "1BTC-DFI20211225180352"
"Trade","0.000077225","ETH-DFI","0.00530837000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-25T18:03:01", "1ETH-DFI20211225180301"
"Trade","0.000077225","ETH-DFI","0.00000450000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-25T18:03:01", "1ETH-DFI20211225180301"
"Mining","0.00000254000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-25T00:01:00", "BTC20211225000100_Commission"
"Mining","0.00002322000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-25T00:01:00", "ETH20211225000100_Commission"
"Mining","4.54053190000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-25T00:01:00", "DFI20211225000100_Rewards"
"Mining","0.10573236000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-25T00:01:00", "DFI20211225000100_Commission"
"Mining","0.22062695000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-25T00:01:00", "USDC20211225000100_Commission"
"Trade","0.121442895","USDC-DFI","0.45788393000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-24T17:15:18", "1USDC-DFI20211224171518"
"Trade","0.121442895","USDC-DFI","0.13188523000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-24T17:15:18", "1USDC-DFI20211224171518"
"Trade","0.000034975","BTC-DFI","0.00843950000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-24T17:12:07", "1BTC-DFI20211224171207"
"Trade","0.000034975","BTC-DFI","0.00000058000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-24T17:12:07", "1BTC-DFI20211224171207"
"Trade","0.000118405","ETH-DFI","0.00809165000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-24T17:08:02", "1ETH-DFI20211224170802"
"Trade","0.000118405","ETH-DFI","0.00000694000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-24T17:08:02", "1ETH-DFI20211224170802"
"Mining","0.00000018000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-24T00:01:00", "BTC20211224000100_Commission"
"Mining","0.00000424000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-24T00:01:00", "ETH20211224000100_Commission"
"Mining","4.46719627000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-24T00:01:00", "DFI20211224000100_Rewards"
"Mining","0.09995909000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-24T00:01:00", "DFI20211224000100_Commission"
"Mining","0.25534929000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-24T00:01:00", "USDC20211224000100_Commission"
"Trade","0.09851634","USDC-DFI","0.36582289000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-23T16:38:38", "1USDC-DFI20211223163838"
"Trade","0.09851634","USDC-DFI","0.10862927000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-23T16:38:38", "1USDC-DFI20211223163838"
"Trade","0.00004736","BTC-DFI","0.00000080000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-23T16:37:28", "1BTC-DFI20211223163728"
"Trade","0.00004736","BTC-DFI","0.01122025000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-23T16:37:28", "1BTC-DFI20211223163728"
"Trade","0.00037144","ETH-DFI","0.00002187000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-23T16:36:54", "1ETH-DFI20211223163654"
"Trade","0.00037144","ETH-DFI","0.02526776000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-23T16:36:54", "1ETH-DFI20211223163654"
"Mining","0.00000032000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-23T00:01:00", "BTC20211223000100_Commission"
"Mining","0.00000483000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-23T00:01:00", "ETH20211223000100_Commission"
"Mining","4.49264056000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-23T00:01:00", "DFI20211223000100_Rewards"
"Mining","0.11624073000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-23T00:01:00", "DFI20211223000100_Commission"
