Type,"Buy Amount","Buy Cur.","Sell Amount","Sell Cur.","Fee Amount (optional)","Fee Cur. (optional)","Exchange (optional)","Trade Group (optional)","Comment (optional)",Date,Tx-ID
"Other Expense",,,0.04775241000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-28T15:19:50,1BTC-DFI20211228151950
"Other Expense",,,0.00000347000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-28T15:19:50,1BTC-DFI20211228151950
"Income (non taxable)",0.00142351,ETH-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-28T15:18:42,1ETH-DFI20211228151842
"Other Expense",,,0.04760811000000,ETH,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-28T15:18:42,1ETH-DFI20211228151842
"Other Expense",,,0.00004262000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-28T15:18:42,1ETH-DFI20211228151842
"Reward / Bonus",0.00000102000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-28T00:01:00,BTC20211228000100_Commission
"Reward / Bonus",0.00001379000000,ETH,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-28T00:01:00,ETH20211228000100_Commission
"Reward / Bonus",4.55968174000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-28T00:01:00,DFI20211228000100_Rewards
"Reward / Bonus",0.11443762000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-28T00:01:00,DFI20211228000100_Commission
"Reward / Bonus",0.30834492000000,USDC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-28T00:01:00,USDC20211228000100_Commission
"Income (non taxable)",0.23116566,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-27T15:32:14,1USDC-DFI20211227153214
"Other Expense",,,0.12588758000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-27T15:32:14,1USDC-DFI20211227153214
"Other Expense",,,0.43547315000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-27T15:32:14,1USDC-DFI20211227153214
